client_id,first_name,last_name,gender,date_of_birth,phone_number,email,address,city,state,postal_code,date_of_registration,client_type
16,Kenneth,Tyler,female,1966-10-28,421-839-1169,kenneth.tyler@yahoo.com,155 Justin Burg Suite 447,Schenectady,New York,10801,2024-05-19,buyer
17,Christine,Johnson,male,1990-08-07,311-828-5067,christine.johnson@hotmail.com,0197 Gutierrez Squares,Yonkers,New York,12201,2024-02-27,renter
18,Briana,Perkins,female,1940-10-09,981-685-5396,briana.perkins@gmail.com,78068 Lee Rue Apt. 944,Syracuse,New York,14201,2024-01-26,renter
19,Annette,Stevenson,female,1982-06-09,609-360-3114,annette.stevenson@yahoo.com,85761 Mark Grove Suite 205,Utica,New York,12201,2023-09-14,seller
20,Danielle,Campos,male,1954-05-14,175-891-3119,danielle.campos@gmail.com,29496 Baldwin Mountains Apt. 797,Schenectady,New York,14602,2022-03-28,renter
21,Jordan,Perez,male,1961-08-28,944-388-9929,jordan.perez@yahoo.com,19404 Jennings Knoll Apt. 030,Utica,New York,10001,2023-03-07,seller
22,Jessica,Rhodes,male,1998-09-02,307-304-7932,jessica.rhodes@outlook.com,5655 Jennifer Squares Suite 870,Utica,New York,10801,2022-06-01,buyer
23,Kyle,Rollins,female,1934-01-31,910-183-6865,kyle.rollins@hotmail.com,2923 Hudson Lakes Apt. 176,Syracuse,New York,10701,2023-08-15,renter
24,Christopher,Cruz,female,1967-07-20,532-628-7034,christopher.cruz@outlook.com,57627 Parks Manor Suite 688,Buffalo,New York,13501,2023-06-12,renter
25,Christine,Cameron,male,1978-01-23,274-147-5010,christine.cameron@hotmail.com,30755 Kimberly Wells Suite 489,Utica,New York,10001,2021-08-14,renter
26,Randy,Jimenez,male,2003-07-25,701-402-7293,randy.jimenez@gmail.com,9918 Yang Mountain,Rochester,New York,12301,2023-10-16,landlord
27,Theresa,Boyd,female,1947-03-05,585-487-9498,theresa.boyd@yahoo.com,4570 Dennis Street,Mount Vernon,New York,14602,2021-03-11,landlord
28,Jessica,Jimenez,male,1959-12-24,228-826-4704,jessica.jimenez@yahoo.com,30114 Kathleen River Apt. 360,Mount Vernon,New York,12301,2023-06-01,seller
29,Donna,Hamilton,female,1963-01-03,773-207-6492,donna.hamilton@gmail.com,5661 Bowman Spur Apt. 289,New Rochelle,New York,12301,2023-02-17,seller
30,Lisa,Smith,male,1937-04-07,434-650-8118,lisa.smith@outlook.com,14902 Holmes Ways,Rochester,New York,13201,2021-01-10,landlord
31,Emily,Kennedy,male,2000-10-18,975-322-1499,emily.kennedy@outlook.com,1511 Jay Summit,Albany,New York,13201,2024-07-24,renter
32,Daniel,Prince,female,1963-04-29,881-466-1702,daniel.prince@gmail.com,75920 Abigail Knoll,Utica,New York,10701,2021-07-04,landlord
33,Mary,King,female,1952-03-28,712-334-7733,mary.king@hotmail.com,26925 Jacob Drive Apt. 522,Utica,New York,10001,2020-04-16,renter
34,Mark,Mclean,female,1997-05-02,739-614-9797,mark.mclean@yahoo.com,6239 Boyle Underpass,New York,New York,12301,2024-06-19,landlord
35,Julian,Ross,male,1972-11-22,182-827-1324,julian.ross@hotmail.com,8898 Dale Loop,Buffalo,New York,14602,2020-05-21,seller
36,Rachel,Sutton,male,1992-07-13,993-636-7659,rachel.sutton@gmail.com,474 Jackson Hill Apt. 198,Rochester,New York,10550,2023-06-30,seller
37,William,Wilson,female,1942-03-19,491-802-1158,william.wilson@gmail.com,47768 Ashley Brooks,Schenectady,New York,12201,2024-01-29,seller
38,Kyle,Norris,male,1968-07-02,314-275-1995,kyle.norris@hotmail.com,7988 Irwin Roads,Syracuse,New York,14201,2022-07-15,buyer
39,Morgan,Hunter,male,1977-05-26,601-329-8850,morgan.hunter@gmail.com,04533 Cortez Fort Apt. 780,New Rochelle,New York,12301,2024-06-28,landlord
40,Yesenia,Riley,female,1952-11-19,395-818-3896,yesenia.riley@outlook.com,54579 Newton Orchard Apt. 577,Rochester,New York,10701,2023-07-06,seller
41,Brad,Henson,male,2001-09-01,997-658-3516,brad.henson@yahoo.com,49235 Kyle Crossing Apt. 832,Utica,New York,14602,2024-05-28,renter
42,Deborah,Barnett,female,1934-04-09,536-366-2214,deborah.barnett@hotmail.com,3465 Bruce Via Apt. 083,Buffalo,New York,12201,2023-12-17,buyer
43,Michael,Chapman,male,1975-10-23,704-511-7860,michael.chapman@hotmail.com,410 Justin Rapid,Mount Vernon,New York,14602,2021-10-03,landlord
44,Stacy,Perkins,female,1997-10-27,246-712-2072,stacy.perkins@yahoo.com,49503 Simmons Rapid,New York,New York,14201,2023-02-06,buyer
45,Timothy,Lyons,male,2002-06-08,819-141-3269,timothy.lyons@hotmail.com,831 Bennett Isle Apt. 713,Albany,New York,12301,2022-12-30,landlord
46,Jamie,Oliver,male,1954-11-10,458-162-9882,jamie.oliver@yahoo.com,324 Mathis Station,Yonkers,New York,13201,2022-09-14,buyer
47,Tommy,Williams,female,1949-09-16,612-527-8826,tommy.williams@outlook.com,654 Brown Springs Suite 361,Syracuse,New York,12201,2020-07-12,buyer
48,Jessica,Rivers,male,1994-11-06,795-712-8511,jessica.rivers@hotmail.com,801 Kenneth Harbors Apt. 353,Schenectady,New York,14201,2024-01-18,buyer
49,Pamela,Hogan,female,1984-11-28,722-611-2241,pamela.hogan@hotmail.com,9987 White Junctions Suite 336,New York,New York,13501,2024-05-01,buyer
50,Shelly,Smith,male,1942-05-13,339-308-2352,shelly.smith@outlook.com,25432 Rodriguez Fields,Rochester,New York,13501,2022-02-20,renter
51,David,Rodriguez,male,1949-02-13,340-667-8756,david.rodriguez@hotmail.com,7930 Willis Corners,Rochester,New York,12201,2022-05-30,landlord
52,Danielle,Jones,male,1935-11-19,809-427-6805,danielle.jones@yahoo.com,94499 Rogers Loaf Apt. 159,Yonkers,New York,13201,2020-06-10,renter
53,Alejandro,Francis,male,1979-05-15,123-766-8352,alejandro.francis@outlook.com,255 Rogers Tunnel Apt. 667,New Rochelle,New York,12201,2021-07-05,buyer
54,Matthew,Graham,female,1949-12-28,982-355-1787,matthew.graham@gmail.com,664 Cody Junctions,Schenectady,New York,14201,2022-09-14,seller
55,Terri,Coffey,female,1958-12-22,157-426-3993,terri.coffey@outlook.com,38475 Scott Island,New York,New York,12301,2020-10-24,landlord
56,Cynthia,Wade,male,1985-01-24,305-152-9868,cynthia.wade@outlook.com,088 Thomas Hills,Utica,New York,12301,2021-09-11,renter
57,Troy,Miller,male,1938-03-30,796-356-8176,troy.miller@yahoo.com,0980 Scott Gardens Suite 408,Buffalo,New York,10001,2023-09-24,seller
58,Deborah,Rowe,female,1960-01-22,833-861-2664,deborah.rowe@yahoo.com,7484 Jessica Branch Suite 456,Utica,New York,12201,2020-02-13,renter
59,Paul,Jones,male,1938-08-25,322-309-3207,paul.jones@outlook.com,51401 Randy Wells Apt. 197,Albany,New York,14201,2024-01-12,seller
60,Sean,Miller,male,1993-07-30,685-768-9773,sean.miller@hotmail.com,07385 Donna Inlet Apt. 396,Rochester,New York,12301,2023-09-02,landlord
61,Katrina,Patton,female,1993-10-27,505-172-4977,katrina.patton@gmail.com,4377 Jessica Valley,Schenectady,New York,10701,2022-09-13,buyer
62,Kevin,Preston,male,1939-02-26,988-985-4573,kevin.preston@gmail.com,8110 Jennifer Dam,Schenectady,New York,10701,2023-12-30,renter
63,Tina,Kemp,male,1944-03-30,877-194-6220,tina.kemp@yahoo.com,19575 Roberts Inlet Suite 170,Schenectady,New York,12301,2023-11-26,renter
64,Wendy,Brown,female,1956-06-30,465-340-4856,wendy.brown@gmail.com,049 Jennifer Oval Suite 958,Buffalo,New York,10550,2021-09-14,buyer
65,Ryan,Pierce,male,1946-09-25,172-573-3991,ryan.pierce@hotmail.com,3200 Lawrence Key Suite 755,Mount Vernon,New York,13201,2020-12-11,seller
66,April,Carrillo,male,1938-02-12,485-423-9158,april.carrillo@gmail.com,2826 Chad Views,Mount Vernon,New York,12301,2021-01-01,seller
67,Margaret,Baker,male,1964-03-12,895-483-1485,margaret.baker@outlook.com,360 Stephanie Parks,Yonkers,New York,13201,2024-02-02,landlord
68,Jason,Rodriguez,male,1966-02-10,434-974-4368,jason.rodriguez@outlook.com,64481 Cobb Village Apt. 947,New York,New York,10550,2023-02-21,buyer
69,Tyler,Carpenter,female,1968-06-02,663-528-1967,tyler.carpenter@gmail.com,720 Martinez Place Suite 081,New York,New York,13201,2023-07-11,landlord
70,Brian,Gonzalez,female,1957-09-22,202-939-7492,brian.gonzalez@outlook.com,28228 Jesse Prairie Apt. 202,Buffalo,New York,13201,2020-03-16,renter
71,Justin,White,female,1964-11-24,523-992-7179,justin.white@outlook.com,536 Melissa Creek,New Rochelle,New York,10801,2023-04-30,buyer
72,Joseph,Thompson,male,1976-02-05,292-399-6353,joseph.thompson@outlook.com,869 Faulkner Ville,Rochester,New York,10550,2023-05-08,renter
73,Cynthia,Lynch,male,1984-05-14,611-475-9870,cynthia.lynch@yahoo.com,790 Copeland Manor,Syracuse,New York,14602,2022-03-14,seller
74,Tammy,Hodges,female,1978-03-11,209-947-5622,tammy.hodges@yahoo.com,20296 Gonzalez Via Apt. 273,New York,New York,12201,2022-08-30,buyer
75,Luis,Roberts,male,1971-11-13,699-264-6682,luis.roberts@yahoo.com,833 Cherry Greens Apt. 166,Utica,New York,10801,2022-08-18,buyer
76,John,Zuniga,male,1967-08-23,145-234-2138,john.zuniga@outlook.com,91665 Clark Locks Suite 736,New York,New York,10801,2021-07-13,renter
77,Desiree,Rogers,male,1972-02-16,320-128-4738,desiree.rogers@yahoo.com,6882 Duncan Circle,Schenectady,New York,10701,2022-04-01,seller
78,Shawn,Sanders,female,1955-11-03,712-549-9168,shawn.sanders@gmail.com,685 Chapman Stream Suite 508,New Rochelle,New York,13201,2023-11-28,landlord
79,Jonathan,Hawkins,male,1957-10-29,390-126-2927,jonathan.hawkins@outlook.com,274 Faulkner Ways Suite 283,Mount Vernon,New York,14201,2022-09-07,seller
80,Tanya,James,male,1982-08-16,191-587-2372,tanya.james@yahoo.com,974 Tammy Burg Apt. 384,New Rochelle,New York,10801,2020-08-11,seller
81,Danielle,Allen,female,1951-02-10,585-482-1334,danielle.allen@gmail.com,5548 Walters Square,New York,New York,13201,2020-12-25,seller
82,Kathy,Duncan,male,1967-01-07,914-886-2972,kathy.duncan@gmail.com,685 Lonnie Street,Utica,New York,13201,2020-04-12,buyer
83,Matthew,Simpson,female,1995-04-13,563-488-3331,matthew.simpson@yahoo.com,191 Lee Vista,Albany,New York,12301,2024-07-08,renter
84,Jesse,Fox,female,1949-10-29,110-738-2487,jesse.fox@gmail.com,185 Jason Brook,Yonkers,New York,10550,2023-09-28,renter
85,Joseph,James,male,1985-02-18,257-381-1170,joseph.james@yahoo.com,64259 Mathews Keys Apt. 820,New York,New York,14201,2020-10-07,landlord
86,Jason,Murphy,female,1988-09-29,101-498-5785,jason.murphy@outlook.com,77776 Lewis Lake,Yonkers,New York,12201,2020-08-09,seller
87,Megan,Berry,male,1946-10-26,950-409-3047,megan.berry@yahoo.com,67882 Pena Forge,Yonkers,New York,10550,2023-02-14,renter
88,Amy,Robles,female,1953-10-05,115-887-4943,amy.robles@gmail.com,248 Erica Shoals Suite 381,Yonkers,New York,13201,2023-01-07,seller
89,Gabriella,Luna,male,1947-02-23,481-248-6084,gabriella.luna@hotmail.com,4638 Macdonald Village,Yonkers,New York,10001,2024-04-30,renter
90,Thomas,Franklin,male,1982-11-02,296-599-2149,thomas.franklin@gmail.com,9912 Robert Pines Suite 803,Mount Vernon,New York,14201,2020-06-02,buyer
91,Heather,Pineda,male,1940-01-06,862-983-4577,heather.pineda@yahoo.com,7471 Keith Trace Suite 006,Buffalo,New York,10701,2023-12-23,buyer
92,Justin,Martinez,female,1981-07-12,351-959-9027,justin.martinez@gmail.com,05709 Smith Vista Apt. 069,New Rochelle,New York,12201,2020-09-25,seller
93,Jacqueline,Collins,female,1971-06-16,387-778-3995,jacqueline.collins@outlook.com,654 Chloe Lock Suite 662,New York,New York,12301,2023-08-15,buyer
94,Samantha,Hayden,male,1947-09-25,104-992-4412,samantha.hayden@outlook.com,279 Erin Points Suite 367,New Rochelle,New York,10550,2022-01-16,buyer
95,Elizabeth,Jones,female,1971-01-05,934-649-9200,elizabeth.jones@outlook.com,045 Gonzalez Lakes,Syracuse,New York,14602,2020-10-15,seller
96,Edgar,Brewer,female,1970-12-15,792-624-2183,edgar.brewer@yahoo.com,9291 Thompson Oval,Mount Vernon,New York,14201,2021-11-20,seller
97,Cory,Gomez,female,1971-08-03,529-906-5698,cory.gomez@gmail.com,0242 Johnson Extensions,Rochester,New York,13201,2024-05-24,landlord
98,Brian,Mason,male,1996-04-13,776-232-2544,brian.mason@hotmail.com,7460 Bruce Circle,New Rochelle,New York,13201,2023-06-14,landlord
99,Joshua,Adams,male,1972-11-17,159-323-1860,joshua.adams@hotmail.com,8765 Collins Course Suite 451,Mount Vernon,New York,10001,2024-06-10,renter
100,Sharon,Johnson,male,1974-10-30,419-965-6544,sharon.johnson@outlook.com,00290 Arnold Ridge Apt. 066,New Rochelle,New York,12201,2021-06-07,seller
101,Andre,Brennan,male,1992-05-05,838-264-7014,andre.brennan@gmail.com,3631 John Burg,Mount Vernon,New York,10001,2022-06-18,renter
102,Amy,Obrien,male,1964-04-29,270-938-2863,amy.obrien@hotmail.com,512 Deleon Hollow,Syracuse,New York,10701,2024-07-16,renter
103,Joe,Romero,male,1982-10-06,256-768-1574,joe.romero@gmail.com,51775 Jimenez Islands,New York,New York,10801,2021-01-14,landlord
104,James,Sanders,male,2003-07-12,227-602-5459,james.sanders@hotmail.com,55717 Hopkins Locks,Schenectady,New York,10550,2020-09-10,landlord
105,Christopher,Everett,male,1939-03-23,106-283-8456,christopher.everett@hotmail.com,487 Castillo Plaza Suite 126,New York,New York,12201,2020-02-03,landlord
106,Matthew,Dodson,female,1971-08-17,377-707-7630,matthew.dodson@hotmail.com,46173 Smith Freeway Suite 358,Albany,New York,10550,2021-08-27,seller
107,Selena,Miranda,female,1948-07-21,985-448-3882,selena.miranda@yahoo.com,42780 Mccoy Forest,Schenectady,New York,10801,2021-09-28,renter
108,Lynn,Rice,male,2005-07-07,117-810-3555,lynn.rice@gmail.com,27316 Harris Fords,Mount Vernon,New York,12301,2022-06-26,renter
109,Wendy,Kennedy,male,2000-03-09,820-296-2585,wendy.kennedy@gmail.com,44750 Regina Circles Apt. 074,Syracuse,New York,10701,2020-09-08,renter
110,Bryan,Cole,male,1953-10-23,778-924-9210,bryan.cole@outlook.com,80318 Goodman Burgs,Yonkers,New York,12201,2024-02-29,seller
111,Madison,Jones,female,2001-07-31,749-525-8665,madison.jones@yahoo.com,224 Schmidt Courts Apt. 931,Yonkers,New York,14602,2021-09-07,seller
112,Sierra,Chen,male,1951-02-06,563-652-2661,sierra.chen@hotmail.com,20890 Suzanne Well Apt. 756,Mount Vernon,New York,10550,2022-06-04,renter
113,David,Green,male,2001-01-25,737-333-6212,david.green@outlook.com,49375 Johnson Lodge Suite 644,Rochester,New York,12201,2021-11-16,renter
114,Chris,Rasmussen,male,1994-03-21,129-417-3922,chris.rasmussen@gmail.com,1350 Howard Cape,Syracuse,New York,10701,2020-05-16,buyer
115,Mary,Robinson,male,1953-12-26,622-236-4322,mary.robinson@yahoo.com,40294 Jack Rue,Utica,New York,13201,2020-06-24,buyer
116,Heather,Walker,female,1996-06-15,345-985-1530,heather.walker@outlook.com,7830 Riley Fields Suite 775,Utica,New York,12201,2023-07-18,renter
117,Michael,Sanchez,female,1988-03-20,438-782-9758,michael.sanchez@outlook.com,679 Huffman Overpass Suite 334,Syracuse,New York,14201,2022-11-22,landlord
118,Angela,Fisher,female,1951-02-14,910-860-1268,angela.fisher@hotmail.com,46664 Jennifer Knoll Apt. 829,New Rochelle,New York,12201,2024-03-06,seller
119,Lisa,Johnson,male,1936-07-04,427-333-6241,lisa.johnson@outlook.com,0049 Wilkerson Station Suite 831,Syracuse,New York,14602,2022-06-24,seller
120,Anthony,Frank,female,1993-10-31,208-774-6887,anthony.frank@outlook.com,919 Tammie Street Suite 945,Mount Vernon,New York,10801,2024-04-21,renter
121,Lance,Wallace,female,1966-10-13,903-219-1937,lance.wallace@gmail.com,090 Figueroa Springs,Yonkers,New York,10001,2021-07-23,buyer
122,Cindy,Ford,male,2004-01-23,977-397-9065,cindy.ford@hotmail.com,25262 Flores Burgs Apt. 613,New York,New York,10801,2022-02-27,renter
123,Heather,Vasquez,male,1982-09-24,885-486-9431,heather.vasquez@hotmail.com,839 Thompson Hollow Apt. 212,Yonkers,New York,10801,2022-01-07,renter
124,Martin,Lloyd,female,1991-06-11,449-102-9565,martin.lloyd@outlook.com,20797 Taylor Oval,Buffalo,New York,12201,2023-01-25,landlord
125,Gary,Reid,female,1952-01-13,531-746-3566,gary.reid@gmail.com,229 Williams Inlet,Yonkers,New York,14602,2023-09-13,buyer
126,Alexandra,Bowman,male,2005-02-10,852-404-4665,alexandra.bowman@gmail.com,60943 Wendy Squares Apt. 914,Syracuse,New York,10701,2023-12-06,renter
127,Emily,Guerrero,female,1988-07-13,444-907-7611,emily.guerrero@outlook.com,058 Khan Gateway,Buffalo,New York,10001,2020-09-14,buyer
128,Nicholas,Bailey,male,1943-09-14,323-890-9448,nicholas.bailey@gmail.com,654 Dixon Valleys Suite 509,Schenectady,New York,12301,2021-11-30,landlord
129,Taylor,Hill,male,1954-06-23,124-496-5741,taylor.hill@hotmail.com,313 Copeland Alley,Mount Vernon,New York,14602,2024-07-16,buyer
130,Mary,Cooper,male,1958-08-05,366-109-9171,mary.cooper@yahoo.com,2516 Megan Fort,Albany,New York,13201,2020-05-31,renter
131,Jeremy,Rivera,male,1996-06-21,183-106-8356,jeremy.rivera@hotmail.com,15334 Lauren Mews Suite 161,Schenectady,New York,14201,2024-04-16,buyer
132,Ryan,Dixon,male,1949-04-21,531-498-1846,ryan.dixon@yahoo.com,1115 Reyes Meadows,New York,New York,13201,2023-06-10,renter
133,Jeffrey,Bender,female,1935-02-19,294-308-5016,jeffrey.bender@outlook.com,90350 Sanchez Avenue,New Rochelle,New York,12201,2022-09-26,renter
134,Stacey,Schroeder,male,1944-02-08,997-102-6908,stacey.schroeder@gmail.com,00814 Christine Plaza,Buffalo,New York,10701,2021-03-12,landlord
135,James,Schwartz,female,1948-09-25,910-399-8331,james.schwartz@hotmail.com,0246 Robert Stream Apt. 538,Syracuse,New York,14201,2023-03-28,renter
136,Charles,Warner,male,1953-09-21,146-693-7713,charles.warner@hotmail.com,87551 Todd Isle,Buffalo,New York,10701,2023-06-12,renter
137,Kristi,Thompson,female,1961-12-13,220-121-4373,kristi.thompson@yahoo.com,621 Campbell Extension Suite 490,Utica,New York,12301,2021-02-22,seller
138,Nicholas,Martinez,female,1982-09-01,515-335-1896,nicholas.martinez@hotmail.com,6413 Cole Ranch Suite 067,Schenectady,New York,10701,2020-02-23,renter
139,Craig,Lopez,male,1956-06-01,720-330-5728,craig.lopez@gmail.com,1127 Le Ville,Mount Vernon,New York,10550,2020-07-24,renter
140,Christopher,Bradley,female,1991-12-05,370-218-4381,christopher.bradley@outlook.com,4438 Sandra Roads,New Rochelle,New York,13501,2024-03-02,renter
141,Andrew,Woods,male,1950-06-13,522-787-4927,andrew.woods@gmail.com,7234 Matthew Junction Apt. 150,Albany,New York,10701,2022-10-29,buyer
142,Sheila,Lawrence,male,1938-03-04,219-386-9049,sheila.lawrence@outlook.com,84190 Green Circles,Albany,New York,14201,2024-01-12,seller
143,Richard,Allen,female,1979-08-07,924-182-5821,richard.allen@hotmail.com,700 Avila Station Apt. 433,New York,New York,10801,2020-06-12,renter
144,Jeffrey,Roberts,male,1985-10-14,156-164-7742,jeffrey.roberts@yahoo.com,40351 Flores Way Suite 654,Syracuse,New York,10701,2020-02-22,renter
145,William,Roberts,female,1978-04-23,416-321-6604,william.roberts@gmail.com,70673 Mejia Street Apt. 320,Syracuse,New York,14201,2023-06-10,seller
146,Todd,Gordon,male,2002-03-09,554-157-4370,todd.gordon@hotmail.com,054 Kendra Court Suite 562,Mount Vernon,New York,12301,2024-03-27,seller
147,Wesley,Hodges,male,1953-11-06,511-253-9280,wesley.hodges@hotmail.com,68527 Parks Lake,Buffalo,New York,10801,2024-03-19,seller
148,Anna,May,male,1980-10-31,113-611-9907,anna.may@outlook.com,146 Stacey Knolls Suite 656,Rochester,New York,14201,2020-12-30,buyer
149,Joshua,Kirk,male,1979-08-23,829-439-7280,joshua.kirk@outlook.com,81108 Brown Shore Apt. 637,Yonkers,New York,10701,2023-12-16,landlord
150,Gregory,Anderson,male,1936-01-01,839-213-4821,gregory.anderson@gmail.com,181 Mindy Squares,Syracuse,New York,12301,2024-01-11,landlord
151,Pamela,Walls,female,1936-06-25,794-224-6626,pamela.walls@yahoo.com,040 Kayla Lights,Utica,New York,12201,2020-02-13,seller
152,Barbara,Wallace,male,1952-02-09,488-278-2569,barbara.wallace@outlook.com,9700 Evans Club,Mount Vernon,New York,10001,2020-07-05,landlord
153,Michael,Jenkins,female,1945-01-31,989-975-7882,michael.jenkins@yahoo.com,617 Ibarra Meadows,New Rochelle,New York,14602,2020-12-06,renter
154,Zachary,Bell,female,1957-11-02,214-141-9627,zachary.bell@yahoo.com,21878 George Junction,Albany,New York,14201,2021-08-03,buyer
155,Christopher,Watts,female,1943-02-07,372-804-7407,christopher.watts@hotmail.com,46003 Cain Square Suite 812,Syracuse,New York,13501,2021-01-04,renter
156,Sydney,Casey,male,1999-03-05,608-741-3307,sydney.casey@gmail.com,097 Elizabeth Manors Apt. 327,Schenectady,New York,12201,2021-10-07,seller
157,Brittany,Trujillo,female,1943-02-19,660-200-9678,brittany.trujillo@yahoo.com,98139 Cabrera Lane Suite 749,Yonkers,New York,10701,2020-11-15,renter
158,Robin,Thornton,female,1989-11-01,241-415-6971,robin.thornton@outlook.com,60322 Decker Street Apt. 667,Albany,New York,12201,2021-01-04,seller
159,Spencer,Moore,female,1961-02-05,150-140-2768,spencer.moore@gmail.com,19211 Charles Inlet,New York,New York,14602,2023-02-23,landlord
160,Jared,Charles,female,1984-09-04,135-263-2591,jared.charles@hotmail.com,882 John Corner Apt. 918,Utica,New York,10550,2022-10-01,seller
161,Phillip,Marshall,female,1957-07-16,785-409-2408,phillip.marshall@yahoo.com,592 Cooley Glen Suite 140,Utica,New York,10701,2022-08-18,landlord
162,Taylor,Cook,male,1970-04-14,814-205-8821,taylor.cook@outlook.com,803 Crystal Gateway,Syracuse,New York,14201,2022-04-09,landlord
163,Harold,Fletcher,male,1939-02-08,112-284-8441,harold.fletcher@hotmail.com,13137 Espinoza Shores,Schenectady,New York,14201,2022-08-21,seller
164,Kristin,Wilkins,male,1969-02-16,899-302-9550,kristin.wilkins@hotmail.com,704 Morgan Center Apt. 284,Mount Vernon,New York,14602,2021-11-28,renter
165,Jeffrey,Cross,male,1995-10-13,698-885-7261,jeffrey.cross@hotmail.com,589 Jacqueline Brooks,Syracuse,New York,13501,2021-09-15,buyer
166,Marcus,Wong,female,1946-10-16,834-843-1799,marcus.wong@outlook.com,758 Thomas Crossroad Apt. 409,Rochester,New York,10550,2022-12-04,renter
167,Kaitlyn,Taylor,female,1948-02-25,283-821-1911,kaitlyn.taylor@outlook.com,48372 Jared Summit,Buffalo,New York,13201,2022-08-10,landlord
168,Cindy,Smith,female,1965-09-17,315-310-2521,cindy.smith@yahoo.com,2176 Moyer Fork,New York,New York,10801,2022-03-13,landlord
169,David,Perez,male,1993-11-20,822-196-2872,david.perez@outlook.com,018 Shelton Prairie Suite 771,Albany,New York,14201,2022-01-12,renter
170,Mark,Davis,male,1937-07-10,832-654-5416,mark.davis@outlook.com,499 Katherine Knoll,Albany,New York,13501,2023-06-04,seller
171,Thomas,Edwards,female,1975-09-26,896-865-2039,thomas.edwards@yahoo.com,5673 Sean Prairie Apt. 436,Syracuse,New York,13501,2021-03-28,renter
172,Kimberly,Olson,female,1987-05-04,988-362-2499,kimberly.olson@outlook.com,5880 Carlos Lodge Suite 491,New Rochelle,New York,10001,2021-11-16,renter
173,Rebecca,Martinez,male,1993-05-12,522-241-9780,rebecca.martinez@outlook.com,82308 Elizabeth Ridges Suite 739,New Rochelle,New York,14602,2022-09-10,buyer
174,Heidi,Gutierrez,female,1973-01-22,709-228-2460,heidi.gutierrez@outlook.com,34120 Rachel Lodge,Utica,New York,14602,2021-06-10,seller
175,Amy,Cameron,male,1986-10-14,643-941-5199,amy.cameron@gmail.com,3466 Cindy Mills,Mount Vernon,New York,13501,2022-02-23,seller
176,Paul,Brown,male,1964-03-27,896-746-4562,paul.brown@gmail.com,514 Jessica Rapid,Utica,New York,10550,2022-09-08,renter
177,Bobby,Page,female,1945-05-05,600-745-1360,bobby.page@gmail.com,1222 Sara Glen,Albany,New York,10701,2024-07-09,buyer
178,Donald,Fuentes,female,1936-07-22,420-778-5449,donald.fuentes@yahoo.com,276 Charles Route Apt. 188,New Rochelle,New York,12201,2023-09-17,seller
179,John,Torres,female,1934-03-29,556-317-8676,john.torres@yahoo.com,9151 Snyder Crossing Suite 424,Buffalo,New York,10001,2023-01-14,seller
180,Kristina,Doyle,female,1984-04-17,974-166-8474,kristina.doyle@yahoo.com,217 Johnson Point,Schenectady,New York,13201,2024-01-14,buyer
181,Robin,Davis,male,1981-06-22,630-559-2483,robin.davis@gmail.com,558 Graham Summit Apt. 515,New Rochelle,New York,12301,2021-03-28,seller
